Name,Position,Height,Age,Draft,Nationality,All_Star,Team
Steven Adams,Center,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Memphis Grizzlies
Ochai Agbaji,Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Utah Jazz
Santi Aldama,Center,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Memphis Grizzlies
Nickeil Alexander-Walker,Guard,"6' - 6'5""",18-24,Round 1,International,All_Star_No,Minnesota Timberwolves
Jose Alvarado,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,New Orleans Pelicans
Kyle Anderson,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
D.J. Augustin,Guard,"6' - 6'5""",35+,Round 1,Domestic,All_Star_No,Houston Rockets
Deandre Ayton,Center,7' and Over,18-24,Round 1,International,All_Star_No,Phoenix Suns
Udoka Azubuike,Center,7' and Over,18-24,Round 1,International,All_Star_No,Utah Jazz
Ibou Badji,Center,7' and Over,18-24,Undrafted,International,All_Star_No,Portland Trail Blazers
"Patrick Baldwin, Jr.",Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Golden State Warriors
Mohamed Bamba,Center,7' and Over,18-24,Round 1,Domestic,All_Star_No,Los Angeles Lakers
Desmond Bane,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Memphis Grizzlies
Dominick Barlow,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,San Antonio Spurs
Harrison Barnes,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Sacramento Kings
Charles Bassey,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,San Antonio Spurs
Keita Bates-Diop,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,San Antonio Spurs
Nicolas Batum,Forward,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Los Angeles Clippers
Darius Bazley,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Phoenix Suns
Malik Beasley,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Los Angeles Lakers
Davis Bertans,Forward,"6'5"" - 6'11""",30-34,Round 2,International,All_Star_No,Dallas Mavericks
Khem Birch,Forward,"6'5"" - 6'11""",30-34,Undrafted,International,All_Star_No,San Antonio Spurs
Bismack Biyombo,Forward,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Phoenix Suns
Devin Booker,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Phoenix Suns
"B.J. Boston, Jr.",Guard,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Los Angeles Clippers
Malaki Branham,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,San Antonio Spurs
Christian Braun,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Denver Nuggets
Dillon Brooks,Forward,"6'5"" - 6'11""",25-29,Round 2,International,All_Star_No,Memphis Grizzlies
"Bruce Brown, Jr.",Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Denver Nuggets
"Troy Brown, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Los Angeles Lakers
Thomas Bryant,Center,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Denver Nuggets
Reggie Bullock,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Dallas Mavericks
Jared Butler,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Oklahoma City Thunder
John Butler,Center,7' and Over,18-24,Undrafted,Domestic,All_Star_No,Portland Trail Blazers
Kentavious Caldwell-Pope,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Denver Nuggets
Vlatko Cancar,Forward,"6'5"" - 6'11""",25-29,Round 2,International,All_Star_No,Denver Nuggets
"Vernon Carey, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Utah Jazz
